Keyword,Intent,Keyword Difficulty,Keyword Opportunity,CPC,Volume ricerca,Stagionalità
formazione hr,Informational,35,83,3.05,140,
project management scrum,Informational,32,82,1.57,140,
passione lavoro,Informational,38,70,0,140,
user stories format,Informational,24,85,0,140,
struttura funzionale aziendale,Informational,28,84,0,140,
gli stakeholders,Informational,41,74,0,140,
differenza tra gruppo e squadra,Informational,40,58,0.07,140,
corso figma,Informational,43,56,1.76,140,
master marketing milano,Informational,51,73,7.92,140,
scrum project manager,"Transactional,Informational",39,79,1.57,140,
sei sigma,Informational,42,75,1.03,140,
certificazioni scrum,Informational,20,82,1.78,140,
agile pm,"Transactional,Informational",24,83,3.3,140,
digital product manager,Informational,45,44,2.26,140,
ansia da lavoro paura di sbagliare,Informational,40,78,0.54,140,
corsi smm,Informational,26,87,3.48,140,
business case significato,Informational,38,80,0,140,
esame pmp,Informational,19,75,2.7,140,
stipendio product manager,"Transactional,Informational",47,76,1.53,140,
influencer cos'è,Informational,44,79,0.67,140,
corsi social media manager online,Informational,41,75,4.22,140,
help desk cos'è,Informational,45,78,1.285012,140,
agile framework,Informational,43,56,1.52,140,
mvp startup,Informational,32,80,0.2,140,
la legge d'attrazione,Informational,41,73,0.199367,140,
data business analysis,Informational,42,77,2.7,140,
organizational behavior,Informational,58,23,0,140,
stima parametrica,Transactional,32,60,0,140,
project management pmp,Informational,29,83,4.28,140,
startup mvp,Informational,31,86,0.2,140,
teatro d'impresa,Informational,41,35,0,140,
corso social media marketing riconosciuto,Transactional,36,78,4.8,140,
strategie di corporate,Informational,35,66,6.53,140,
certificazioni project management,Informational,33,74,3.94,140,
project manager pmp,Informational,20,87,4.28,140,
stakeholder matrix,Informational,41,56,0,140,
consulente hr,Informational,40,72,3.12,140,
corso social,Informational,51,63,4.27,140,
scrum planning poker,Informational,31,73,0.05,140,
catena valore porter,Informational,52,73,0,140,
portfolio manager,Informational,54,42,6.94,140,
pmp project manager,Informational,21,88,4.28,140,
stakeholders matrix,Informational,23,80,0,140,
lavori ideali,Informational,27,85,0.19,140,
master in social media marketing,Informational,45,75,11.63,140,
daily scrum,Informational,32,47,0,140,
analisi di scenario,Informational,29,60,0,140,
giochi comunicazione efficace,Informational,24,85,0.44,140,
reliability engineer,Informational,50,28,0.14,140,
mappatura degli stakeholder,Informational,39,68,0,140,
job to job,Transactional,43,71,0.12,140,
esercizi per ritrovare se stessi,Informational,26,85,1.41,140,
master innovation management,Informational,30,75,9.24,140,
coaching cos'è,Informational,43,79,0.59,140,
economie di raggio d azione,Informational,29,82,0,140,
giochi di comunicazione non verbale,Informational,27,83,0.13,140,
organizzazione funzionale,Informational,32,82,0,140,
cosa fa un product manager,Informational,56,71,0.05,140,
significato di influencer,Informational,26,85,0,140,
corsi social media marketing,Transactional,43,75,3.57,140,
scrum metodologia,Informational,47,77,0.79,140,
ruolo in azienda,Informational,19,89,0.44,140,
itil v3,Informational,48,55,28.03,140,
sprint retrospective,Informational,34,48,0,140,
teatro d impresa,Informational,33,80,0,140,
giardini baltimora genova,Commercial,53,71,0,140,
leadership goleman,"Transactional,Informational",35,82,0.17,140,
ruoli in azienda,Informational,31,79,0.44,140,
struttura matriciale,Informational,16,89,0,140,
agile retrospective,Informational,29,75,1.01,140,
sensazione di insoddisfazione,Informational,44,77,0,140,
corso digital marketing milano,Informational,32,80,7.81,140,
share idea,Informational,38,66,0,140,
toyota lean,Informational,28,86,0,140,
safe learning,Informational,20,74,0.79,140,
agile mindset,Informational,34,59,0.79,140,
autorevolezza esempi,Informational,42,79,0,140,
corsi digital marketing milano,Informational,32,80,7.81,140,
scrum agile,Informational,41,80,1.59,140,
obiettivi strategici,Informational,36,53,0,140,
agile marketer,Informational,30,81,0.1,140,
continuous deployment,Informational,43,48,1.54,140,
mindset agile,Informational,28,80,0.79,140,
il pensiero computazionale sarà,Informational,28,83,0,140,
digital marketing master online,Transactional,40,78,12.5,110,
scambio di idee,Informational,50,35,0,110,
economie di specializzazione,Informational,42,68,0,110,
corso scrum master,Transactional,36,74,2.15,110,
cisa certification,Informational,23,82,1.66,110,
differenza tra b2b e b2c,Informational,34,82,0.68,110,
come trovare il lavoro giusto,Informational,43,67,0.69,110,
corso personal branding,Informational,34,80,3.44,110,
backlog refinement,Informational,35,40,0,110,
corsi agile,Informational,21,88,2.45,110,
agile devops,"Transactional,Informational",42,80,3,110,
struttura organizzativa aziendale esempio,Informational,21,86,0,110,
start up manager,Transactional,33,77,0,110,
lungimirante contrario,Informational,52,73,0,110,
master digital marketing milano,Informational,23,80,7.05,110,
cosa significa coaching,Informational,34,82,0.78,110,
corso agile,Informational,24,87,2.45,110,
capo progetto,Informational,40,63,0,110,
professional project management,Informational,20,87,4.84,110,
data scientist italia,"Transactional,Informational",50,75,4.63,110,
linguaggio assertivo,Informational,34,83,0.39,110,
master digital marketing online,Informational,34,78,8.33,110,
facilitatrice,Informational,18,83,0,110,
agile user story,Informational,32,83,2.4,110,
certificazione agile,Informational,26,66,2.8,110,
agile user stories,Informational,43,72,2.4,110,
project management professional,Informational,29,59,4.84,110,
boston matrix,Informational,30,85,0,110,
master marketing online,Informational,37,79,8.94,110,
user story agile,Informational,33,82,2.4,110,
project manager definizione,Informational,51,73,0.42,110,
senso di insoddisfazione,Informational,49,71,0.14,110,
analyst hr,Informational,42,80,1.51,110,
garden studios,Commercial,38,44,0.56,110,
product owner scrum,Informational,26,84,0.81,110,
daily meeting,Informational,40,70,0,110,
obiettivi business,Informational,22,87,1.3,110,
itil framework,Informational,43,80,3.42,110,
zen filosofia,Informational,39,81,0.07,110,
hr analyst,Informational,45,60,1.51,110,
professional scrum master,Informational,21,63,1.05,110,
meeting scrum,Informational,24,87,0.77,110,
creatività innovazione,Informational,27,81,0,110,
services level,Informational,34,81,0,110,
come funziona la legge di attrazione,Informational,44,73,0.13,110,
hr analist,Informational,42,80,1.51,110,
behaviour driven development,Informational,33,73,0,110,
matrice swot esempi,Informational,48,76,0.08,110,
service request,Informational,44,51,10.64,110,
ars retorica,"Transactional,Informational",45,73,0,110,
corso ux ui design,Informational,44,76,3.34,110,
agile methodologies scrum,Informational,35,82,0.89,110,
business process reengineering bpr,Informational,48,72,3.47,110,
sistemica significato,Informational,33,82,0,110,
corporate wellbeing,Informational,24,53,6.09,110,
satisficing,Informational,53,27,0,110,
end to end test,Informational,23,77,5.73,110,
ruolo aziendale esempi,Informational,12,91,0,110,
struttura societaria,Informational,40,75,0,110,
corso hr online,Transactional,39,80,5.2,110,
what is agile scrum methodology,Informational,29,69,0.89,110,
filosofia aziendale,Informational,31,59,0,110,
devops certification,Informational,42,59,2.14,110,
struttura multidivisionale,Informational,35,72,0,110,
far tornare un ex con la legge di attrazione,Informational,44,77,0.87,110,
ux design master,Informational,31,79,2.21,110,
scrum agile methodology,Informational,33,83,0.89,110,
attività aziendali,Informational,36,76,0,110,
agile scrum master,Transactional,30,73,2.26,110,
struttura elementare,Informational,36,78,0,110,
mvp in startup,Informational,33,84,0,110,
stile di vita zen,Informational,24,87,0,110,
spazi di coworking milano,Commercial,39,78,7.64,110,
what is a scrum,Informational,38,81,0.72,110,
catena di valore di porter,Informational,58,68,0,110,
continuous integration e continuous delivery,Informational,37,74,1.57,110,
certificazioni itil,Informational,21,87,1.56,110,
cosa fa un marketing manager,Informational,35,80,0,110,
ikigai giapponese,Informational,45,78,0.07,110,
corsi content marketing,Informational,45,73,4.7,110,
significato di coaching,Informational,21,87,0.51,110,
economia di apprendimento,Informational,39,76,0,110,
scrum master agile,"Transactional,Informational",29,83,1.7,110,
service level,Informational,52,42,0,110,
cosa fa un data scientist,Informational,49,75,0.33,110,
come attrarre una persona,Informational,29,78,0.55,110,
master hr management,Informational,30,83,6.37,110,
scenari futuri,Informational,28,60,0,110,
catena del valore di porter esempio,Informational,44,75,0,110,
scrum kanban,"Commercial,Informational",38,81,2.38,110,
project manager professional,Informational,25,83,4.84,110,
growth hacking marketing,Informational,30,68,0.42,110,
come scegliere il lavoro giusto,Informational,37,69,0.28,110,
master in hr management,Informational,32,77,8.46,110,
ex fonderie modena,Commercial,32,71,0,110,
agile scrum methodology,Informational,28,80,0.89,110,
vantaggio competitivo definizione,Informational,43,75,0,110,
kanban scrum,"Commercial,Informational",44,79,2.38,110,
pmo project management,Informational,40,79,4.91,110,
pitch significato marketing,Informational,37,81,0,110,
piattaforme mooc,Commercial,35,69,0.69,110,
tag talent garden,Informational,43,77,0.03,90,
via arcivescovo calabiana 6 milano,Informational,36,79,0,90,
psm i,Informational,27,56,1.35,90,
esempio di swot analysis,Informational,35,82,0.19,90,
change management in it,Informational,46,76,7.48,90,
prince2 practitioner,Informational,18,72,1.89,90,
esempi di feedback,Informational,30,76,1.31,90,
master human resources milano,Informational,24,85,16.1,90,
master business intelligence,Transactional,36,75,4.5,90,
spike agile,Informational,27,85,0.07,90,
blue ocean strategy cos'è,Informational,22,86,0.89,90,
passione per il lavoro,Informational,42,74,0,90,
piano di contingenza,Informational,47,56,0,90,
certificazioni pmp,Informational,19,87,3.65,90,
capacità di relazione,Informational,33,82,0,90,
master digital marketing roma,Informational,29,81,8.67,90,
networking italia,Informational,39,78,0,90,
framework agile,Informational,50,67,0,90,
distruzione creatrice,Informational,44,39,0,90,
linkedin funziona,Informational,60,58,0,90,
struttura organizzativa semplice,Informational,30,76,0,90,
marketing project manager,"Transactional,Informational",59,48,2.75,90,
corsi di retorica,"Transactional,Informational",28,84,1.01,90,
corso user experience design,Informational,45,77,3.47,90,
masters in innovation management,Informational,20,84,11.39,90,
scrum cos'è,Informational,45,79,0.67,90,
insegnante facilitatore,Informational,26,55,0,90,
esempi di swot analysis,Informational,38,81,0.19,90,
services delivery,Informational,42,79,0,90,
what is a project manager,Informational,45,67,0.92,90,
okr significato,Informational,39,82,2.55,90,
corso di retorica,"Transactional,Informational",36,72,1.01,90,
service design master,Commercial,36,80,2.79,90,
master marketing digital,Informational,31,82,9.9,90,
conversations,Informational,55,28,0,90,
metodo agile scrum,Informational,34,78,1.06,90,
analisi swot personale,Informational,29,78,0,90,
itil change management,Informational,35,62,20.36,90,
engineering manager,Informational,52,32,0.04,90,
documentazione di progetto,Informational,58,47,0,90,
marketing growth hacking,Informational,33,83,0.19,90,
avere paura del futuro,Informational,48,77,0,90,
corso social media manager milano,Informational,38,76,5.14,90,
master online risorse umane,Informational,43,76,8.14,90,
sprint team,Commercial,39,43,0,90,
esercizi sulla comunicazione,Informational,31,78,0.6,90,
itil for service management,Informational,31,83,9.95,90,
pmp exam,"Navigational,Informational",20,80,1.13,90,
it change manager,Informational,35,81,7.48,90,
okr esempio,Informational,31,85,1.76,90,
piramide dei valori,Informational,41,72,0,90,
well being manager,Informational,24,86,0,90,
master in human resources management,"Transactional,Informational",44,70,10.33,90,
outcome output,"Commercial,Informational",23,87,0,90,
change management for it,Informational,34,79,7.48,90,
exam pmp,Informational,29,85,1.13,90,
it services manager,Informational,36,79,0,90,
production manager stipendio,"Navigational,Transactional,Informational",48,75,0,90,
master in risorse umane online,Transactional,42,77,6.85,90,
master human resources management,Informational,48,73,10.33,90,
out put,Informational,58,73,0,90,
agile hr,"Transactional,Informational",24,51,0.38,90,
ci integration,Informational,41,80,9.96,90,
significato di stakeholder,Informational,48,76,0,90,
master in innovation management,Informational,42,75,11.39,90,
master in marketing online,Transactional,47,74,12.66,90,
user stories,Informational,37,72,0,90,
agile for hr,Informational,21,84,0.38,90,
certificato pmp,"Transactional,Informational",19,88,3.65,90,
digital product design,Informational,46,42,1.02,90,
come essere empatici,Informational,35,73,0,90,
master big data e business analytics,Informational,35,80,18.51,90,
marketing digital master,Informational,37,80,9.9,90,
test end to end,Informational,42,79,1.37,90,
scrum master professional,Informational,21,81,1.24,90,
certificato itil,Informational,26,81,2.6,90,
prodotto marketing,Informational,53,74,0.32,90,
corso di dizione cos'è,Informational,56,71,0.27,90,
corso smm,Informational,34,84,4.32,90,
online marketing masters,Informational,38,75,12.66,90,
bdd test,Informational,41,81,0.18,90,
scrum master cosa fa,Informational,50,74,0.68,90,
service delivery,"Commercial,Informational",50,29,0,90,
posizionamento aziendale,Informational,21,85,0.84,90,
corsi di oratoria,"Commercial,Informational",24,77,1.95,90,
corsi ui design,"Transactional,Informational",38,79,3.47,90,
coworking pordenone,Transactional,27,68,0.69,90,
ciclo di vita del progetto,Informational,42,54,0.04,90,
project management prince2,Informational,27,80,2.29,90,
product strategy,Informational,37,34,1.57,90,
come funziona la legge dell attrazione,Informational,33,82,0,90,
corso ui design,"Transactional,Informational",38,79,3.47,90,
master social media,Informational,30,79,7.6,90,
process reengeneering,Informational,44,76,0.26,90,
project manager marketing,Informational,51,69,2.75,90,
prince2 project management,Informational,31,78,2.29,90,
pitch marketing,Informational,38,71,0,90,
tecniche di ascolto attivo,Informational,35,67,0,90,
master human resource management,Informational,42,76,10.33,90,
master hr milano,Informational,26,85,16.1,90,
gestione team di lavoro,Informational,44,72,0.36,90,
pmp noleggi,Informational,29,76,2.05,90,
engineering project management,Informational,44,52,0.86,90,
posizionamento del prodotto,Informational,44,63,0.74,90,
ansia da lavoro come combatterla,Informational,41,77,0.42,90,
ux design corso,Informational,37,82,3.1,90,
master en marketing digital,Informational,31,82,9.9,90,
crescere professionalmente,Informational,34,53,0,90,
processo bottom up,Informational,54,74,0,90,
engineering project manager,Informational,52,55,0.86,90,
stakeholder is,Informational,54,74,0,90,
corso di oratoria,"Commercial,Informational",29,75,1.95,90,
corsi social media manager milano,Informational,36,77,5.14,90,
master hr roma,Transactional,44,78,7.65,90,
creatività e innovazione,Informational,45,51,0.39,90,
team manager significato,Informational,47,76,0,90,
marketing project management,Informational,47,65,2.76,90,
cicerone oratore,Informational,50,69,0.21,90,
corso sulla comunicazione efficace,Informational,23,83,1.01,70,
miglior master risorse umane,Commercial,48,76,2.82,70,
marianella sclavi arte di ascoltare e mondi possibili,Informational,42,76,0.14,70,
lean coffee,Informational,40,35,0.13,70,
problem solving creativo,Informational,40,45,0.12,70,
agile e scrum,Informational,39,72,1.52,70,
itil service manager,Informational,37,80,19.02,70,
project management professional pmp,Informational,24,83,6.05,70,
problem fixing,Informational,50,73,0,70,
legge attrazione lavoro,Informational,37,80,0,70,
corsi intelligence,Informational,25,85,1.38,70,
corsi social media marketing milano,Transactional,47,74,4.74,70,
retrospettiva agile,Informational,38,71,0,70,
passione nel lavoro,Informational,41,69,0,70,
corso change management,Transactional,35,65,3.02,70,
organizzazione divisionale,Informational,16,89,0,70,
pmp italia,Commercial,37,56,1.74,70,
stipendio data scientist italia,"Transactional,Informational",34,80,1.12,70,
come attrarre,Informational,35,60,0,70,
talent garden padova,Informational,31,67,0,70,
spazio eventi torino,Informational,44,71,2.15,70,
agile scrum project management,Informational,32,82,1.2,70,
qualità e sicurezza,Informational,28,65,0,70,
fasi project management,Informational,39,80,2.29,70,
responsabile di progetto,Informational,39,69,2.12,70,
sla management,Informational,32,74,0,70,
chiara cacciani,Informational,46,32,0,70,
proattività definizione,Informational,37,80,0,70,
talent garden bergamo,Commercial,31,62,0,70,
scrum agile project management,Informational,21,86,1.2,70,
strategie aziendali esempi,"Commercial,Informational",27,83,1.1,70,
obiettivo strategico,"Commercial,Informational",13,84,0,70,
agile project management with scrum,Informational,26,74,1.2,70,
progetto manager,Informational,48,70,0,70,
certificazione togaf,Informational,23,72,1.86,70,
il posizionamento,Informational,44,63,3.64,70,
empowerment aziendale,Informational,29,69,0,70,
social media manager corso,Informational,41,77,4.73,70,
scrum process,Informational,32,84,1.24,70,
pino de sario,Commercial,42,28,0.29,70,
modello tridimensionale di abell,Informational,33,77,0,70,
pmo manager,Informational,44,69,2.3,70,
itil service management,Informational,31,83,19.09,70,
struttura orizzontale,Informational,37,76,0,70,
posizionamento di un prodotto,Informational,33,81,1.01,70,
come cambiare lavoro a 40 anni,Informational,37,79,0,70,
corso social media marketing milano,Transactional,49,73,4.74,70,
serious play,Informational,32,35,0.22,70,
daily stand up,Informational,34,83,0.66,70,
facilitazioni,Informational,33,73,0,70,
schumpeter distruzione creativa,Informational,37,79,0,70,
certificazione pmp opinioni,Commercial,38,79,3.39,70,
processi itil,Informational,35,83,20.04,70,
pmp project management professional,Informational,18,86,6.05,70,
designxtutti,Commercial,53,34,0.62,70,
talent atraction,Informational,25,84,0,70,
master marketing digitale,Informational,33,81,9.47,70,
geniusloci,Informational,23,74,0,70,
economie di gamma,Informational,44,67,0,70,
esercizi sulla comunicazione per adulti,Informational,27,84,0,70,
lead lag,Informational,48,78,0,70,
project manager wikipedia,"Navigational,Informational",41,77,0,70,
agile business,Informational,31,80,0,70,
come essere autorevoli,Informational,21,78,0,70,
recupero autostima,Informational,44,79,1.06,70,
content marketing strategist,Informational,38,79,0,70,
master in social media,Informational,43,78,6.68,70,
scrum management,Informational,42,80,1.26,70,
area di business,Informational,41,69,0,70,
soft skills problem solving,Informational,44,78,1.5,70,
corso agile project management,Informational,30,71,3.02,70,
corsi change management,Transactional,31,80,3.02,70,
mansioni project manager,Informational,53,75,1.67,70,
practice manager,"Transactional,Informational",55,27,0,70,
essere insoddisfatti,Informational,48,78,0.3,70,
insoddisfazione significato,Informational,60,69,0,70,
master online hr,Informational,44,79,14.01,70,
master sales,Informational,37,81,5.61,70,
matrice ge mckinsey,Informational,29,75,0,70,
problem solving soft skills,Informational,36,79,1.5,70,
processes project management,Informational,20,87,0,70,
order backlog,Informational,52,58,0,70,
services help desk,Informational,41,79,2.08,70,
manager pmo,Informational,40,81,2.3,70,
alfabetizzazione emotiva adulti esercizi,Informational,18,88,0.13,70,
legge dell attrazione universale,Informational,43,75,0,70,
ai digital marketing,Informational,38,80,17.5,70,
iniziative sociali,Informational,27,69,0,70,
asa marketing,Informational,36,83,0,70,
esempi swot,Informational,47,78,0,70,
project management agile scrum,Informational,37,80,2.74,70,
help desk service,Informational,53,74,2.08,70,
transition management,Informational,40,36,0,70,
bu manager,Transactional,65,66,0,70,
gruppo squadra,Informational,30,79,0,70,
trend in crescita,Informational,27,85,0,70,
via calabiana 10 milano,Informational,49,74,0,70,
modello aziendale,Informational,40,79,0,70,
corsi devops,Transactional,36,81,1.99,70,
scrum user stories,Informational,32,79,0.86,70,
framework itil,Informational,34,74,4.63,70,
struttura organizzativa elementare,Informational,36,80,0,70,
cambio lavoro a 40 anni,Informational,40,78,0.13,70,
corso ethical hacker prezzi,Transactional,21,85,2.65,70,
master con borsa di studio,Transactional,29,84,7.24,70,
agile grooming,Informational,36,78,0,70,
business definizione,Informational,54,74,0,70,
fasi di un progetto project management,Informational,39,79,2.49,70,
struttura delle piante,Informational,38,74,0,70,
strutture aziendali,Informational,21,86,0,70,
help desk services,Informational,52,75,2.08,70,
come farsi pensare,Informational,28,85,0,70,
corsi per la gestione dei social,Informational,30,84,3.32,70,
design corsi,Informational,38,81,4.09,70,
agile come,Informational,49,73,0,70,
lavoro e passione,"Transactional,Informational",36,67,0,70,
safe scrum,Informational,29,81,0,70,
ruolo project manager,Informational,53,75,0.76,70,
project developer,"Transactional,Informational",47,49,0,70,
service help desk,Informational,39,80,2.08,70,
legge dell attrazione funziona,Informational,39,78,0,70,
spazi eventi torino,Informational,29,79,2.15,70,
design master,Informational,37,82,4.67,70,
psm-i,Informational,11,94,0.6,70,
senso di appartenenza aziendale,Informational,24,75,0,70,
cross funzionale,Informational,20,76,0,70,
la struttura organizzativa,Informational,35,74,0,70,
comunicazione top down,Informational,47,68,0.05,70,
project report,Informational,45,49,2.01,70,
competenze organizzative e gestionali cv,Informational,21,87,0,70,
corsi social media marketing roma,Informational,41,76,7.32,70,
master in marketing milano,Informational,44,75,6.99,70,
product backlog significato,Informational,31,83,0,70,
qualitÃ  e sicurezza,Informational,30,82,0,70,
safe scaled agile,Informational,40,79,2.27,70,
competenze project manager,Informational,35,81,0.68,70,
corso in aula,Informational,33,74,0,70,
it service desk,Informational,39,67,13.24,70,
trovare il lavoro giusto,Informational,39,60,0.26,70,
corso social media marketing roma,Informational,43,74,7.32,70,
master online marketing,Informational,38,78,13.78,70,
daily stand up meeting,Informational,39,79,0.82,70,
acquisire consapevolezza,Informational,30,84,0,70,
safe scale agile,Informational,36,81,2.27,70,
service management itil,Informational,38,80,19.02,70,
pmp project manager professional,Informational,20,86,6.05,70,
mvp significato marketing,Informational,21,88,0,70,
doti relazionali,Informational,40,80,0,70,
corso web marketing e social media,Informational,51,74,6.4,50,
master in risorse umane roma,Transactional,37,78,8.24,50,
negoziazione efficace,Informational,24,48,1.36,50,
uskilling,Informational,26,86,0,50,
forme organizzative,Informational,39,59,0,50,
struttura organizzativa orizzontale,Informational,28,74,0,50,
pmp vs prince2,Commercial,35,68,2.25,50,
posizionamento milano,Informational,35,80,0,50,
gruppo team,Informational,39,81,0,50,
training meta,Commercial,43,43,0,50,
social media corso,Informational,46,77,4.87,50,
networking milano,Informational,33,82,2.81,50,
arte di ascoltare e mondi possibili pdf,Informational,36,73,0.08,50,
struttura organizzativa definizione,Informational,34,79,0,50,
team leader definizione,Informational,41,79,0,50,
service desk service,Informational,39,79,0,50,
prince2 vs pmp,Commercial,34,78,2.25,50,
mvp product,Informational,44,79,0.4,50,
team gruppo,Informational,37,82,0,50,
nuovo lavoro a 40 anni,Informational,45,77,0.07,50,
master of business intelligence,"Transactional,Informational",43,76,10.84,50,
networking meeting,Informational,39,80,0,50,
corso devops,"Transactional,Informational",36,71,3.39,50,
leader team,Informational,33,79,0,50,
service desk as a service,Informational,48,76,0,50,
metodologia itil,Informational,35,83,6.78,50,
marketing prodotto,Informational,43,78,0,50,
comunicazione faccia a faccia,Informational,44,67,0,50,
metodologia kaizen,Informational,33,73,0,50,
data analyst hr,Informational,41,80,1.98,50,
masters in business intelligence,Informational,41,73,10.84,50,
networking event,Informational,38,57,1.13,50,
service desk management,Informational,28,84,20.79,50,
cobit framework,Informational,39,80,0,50,
service desk significato,Informational,49,77,4.44,50,
tipi di organizzazione,Informational,26,80,0,50,
analisi di posizionamento,Informational,27,80,0,50,
lungimiranti significato,Informational,35,80,0,50,
hr data and analytics,Informational,30,83,2.53,50,
design management master,Informational,54,72,5.4,50,
ruoli e responsabilità,Informational,38,65,0,50,
certificazioni agile,Informational,22,85,2.21,50,
scaled safe,"Navigational,Informational",39,81,2.1,50,
business project manager,Informational,59,63,3,50,
struttura operativa,Informational,31,58,0,50,
posizionamento prodotto,Informational,39,78,0,50,
magazine aziendale,Informational,36,53,0,50,
human resources and data analytics,Informational,34,82,2.53,50,
strategic account manager,Informational,51,45,0,50,
lean manager stipendio,Transactional,44,78,0,50,
leadership di servizio,Informational,23,67,0,50,
safe certification agile,Informational,24,84,1.62,50,
lean leader,Informational,25,57,0.68,50,
il project manager,Informational,63,59,2.18,50,
digital product designer,Informational,38,59,1.64,50,
tecniche retoriche,Informational,13,81,0.09,50,
data analytics for hr,Informational,21,87,2.53,50,
marketing academy,Informational,30,68,2.4,50,
zero waste at home,Informational,37,79,0.04,50,
simulazione esame scrum master,Transactional,28,83,0.69,50,
il facilitatore,"Transactional,Informational",49,38,0.19,50,
six sigma cos'è,Informational,46,73,0.988398020631,50,
pmi-acp,Informational,26,56,0,50,
agile safe certification,Informational,24,86,1.62,50,
struttura a rete,Informational,26,86,0,50,
service manager job description,Informational,40,53,0,50,
product team,Informational,30,44,0,50,
la legge dell universo,"Transactional,Informational",31,84,0,50,
master part time management,Informational,26,84,4.31,50,
milano talent garden,"Navigational,Informational",41,80,0.03,50,
spike scrum,Informational,25,85,0,50,
nuovi modelli di business,Informational,40,64,1.54,50,
safe agile certification,Informational,25,75,1.62,50,
attività di project management,Informational,45,78,2.49,50,
organizational change management,Informational,29,48,2.87,50,
domande colloquio manager,Informational,44,77,0.37,50,
bisogno di sicurezza maslow,Informational,43,79,0,50,
corsi sui social network,Informational,36,81,3.44,50,
social marketing management,Informational,31,82,2.03,50,
product backlog esempio,Informational,37,80,1.15,50,
scrum daily meeting,Informational,19,88,0.74,50,
posizioni aziendali,Informational,33,83,0,50,
cross team,Informational,43,79,0,50,
service desk services,Informational,32,82,0,50,
certificazione cobit,"Transactional,Informational",23,86,2.08,50,
po pm,"Navigational,Commercial,Informational",25,89,0,50,
legge di attrazione come applicarla,Informational,28,81,0,50,
corso di formazione hr,Transactional,32,83,5.31,50,
empowerment sociale,Informational,34,62,0,50,
storyboard design,Informational,44,72,0,50,
scrum guide italiano,Informational,16,83,1.07,50,
ambiente uat,Informational,21,89,0,50,
metodo lean toyota,Informational,26,86,0.51,50,
safe product,Informational,30,84,0,50,
sales project manager,"Commercial,Informational",58,49,0.41,50,
engineering pm,Informational,39,80,0,50,
saas business model,"Transactional,Informational",40,52,0,50,
come diventare empatici,Informational,32,83,0.18,50,
equilibrio zen,Informational,54,47,0.39,50,
corsi di formazione hr,Informational,33,83,5.31,50,
networking events,Informational,30,78,1.13,50,
guida scrum,"Transactional,Informational",33,68,0.86,50,
metodologia scrum agile,Informational,32,83,1.13,50,
schumpeter teoria,"Transactional,Informational",42,79,0.17,50,
kaizen management,Informational,37,76,0.14,50,
cross teaming,Informational,32,74,0,50,
project sales manager,Informational,59,67,0.41,50,
change manager,Informational,51,51,0,50,
diventare data scientist,Informational,60,52,6.57,50,
teorie e tecniche di gestione dei conflitti,Informational,31,82,0,50,
tecniche assertive,"Transactional,Informational",42,60,0.07,50,
social media marketing corsi online,Transactional,53,73,5.26,50,
master design management,Informational,56,63,5.42,50,
coaching definizione,Informational,27,85,0,50,
economie di scala grafico,Informational,37,78,0,50,
giochi di lavorare,Informational,33,78,0.15,50,
safe scaled,Informational,45,79,2.1,50,
strutture organizzative aziendali,Informational,30,81,0.82,50,
modello raci,Informational,40,82,0,50,
posizionamento seo roma,Informational,32,81,0,50,
fobia del futuro,Informational,43,79,0,50,
professione lavoro,Commercial,36,67,0,50,
ui ux design corso,"Transactional,Informational",34,82,2.67,50,
social media marketing master,Informational,35,80,6.91,50,
definizione di coaching,Informational,27,80,0.43,50,
strategia blue ocean,Informational,33,82,0,50,
obiettivi azienda,Informational,49,44,0,50,
contingency plan esempio,Informational,33,82,2.9,50,
certificazione cisa,Informational,16,74,1.58,50,
project management certificazione,"Commercial,Informational",37,80,3.59,50,
quanto guadagna un product manager,"Transactional,Informational",42,74,2.12,50,
magazine aziendali,Informational,37,78,0,50,
ritrovare autostima,Informational,50,72,1.6,50,
business intelligence master,Transactional,41,77,10.88,50,
master in web marketing,Informational,32,82,4.88,50,
daily scrum meeting,Informational,20,69,0.74,50,
strategia business,"Commercial,Informational",36,80,0.2,50,
giochi di lavoro,Informational,41,79,0.15,50,
information risk management,Informational,51,49,1.52,50,
project management team,Informational,32,72,0,50,
struttura organizzativa multidivisionale,Informational,39,74,0,50,
technical product management,Informational,49,60,0.53,50,
insoddisfazione personale,Informational,39,79,0,50,
autorevoli,Informational,38,68,0,50,
talent garden cosenza,"Navigational,Commercial",41,48,0,50,
master serali,Informational,50,70,5.65,50,
scrum software,Informational,53,75,4.06,50,
analisi scenario,Informational,30,82,0,50,
obiettivi di business,Informational,27,80,0,50,
project management cosa fa,Informational,49,74,0.32,50,
significato output,Informational,42,79,0,50,
struttura gerarchico funzionale,Informational,32,83,0,50,
software mvp,Informational,29,86,0.14,50,
caratteristiche di un gruppo di lavoro,Informational,42,78,0,50,
ascolto efficace,Informational,24,86,0,50,
talent garden pordenone,"Navigational,Commercial",33,55,0,50,
master part time milano,Transactional,36,79,3.87,50,
esercizi di comunicazione,Informational,28,84,0,50,
esame certificazione pmp,Informational,16,87,3.24,50,
output definizione,Informational,45,79,0,50,
program management office,Informational,34,70,1.77,50,
human resource manager,Informational,45,72,0,50,
stakeholder map,Informational,38,38,0,50,
esercizi emozioni,Informational,21,87,0,50,
apprendimento efficace,Informational,34,48,0.04,50,
